Well ID,S.No,STATE,DISTRICT,BLOCK,LOCATION,LATITUDE,LONGITUDE,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U(ppb)
W114909093023001,6366,Gujarat,Rajkot,Dhoraji,Bhada Jaliya,4.590269155709559e-05,5.731714805610339e-07,0.75,0.0358044587698093,0.0,0.2804177545691906,0.018732782369146005,0.00625,0.012571428571428572,0.003791936310851822,0.033003300330033,0.03550295857988166,0.03882657463330458,0.03548720981812804,0.0011862396204033216,0.04484304932735426,0.17437722419928825,0.05038472499287547,0.6232155163926358
W114909093023001,6367,Gujarat,Rajkot,Dhoraji,Patan Vav,4.5903003013529026e-05,5.731749460643961e-07,0.75,0.023771152296535054,0.0,0.19738903394255874,0.009366391184573003,0.004642857142857143,0.012,0.003791936310851822,0.058672533920058674,0.10650887573964497,0.03019844693701467,0.009906846074227413,0.02372479240806643,0.0,0.17437722419928825,0.03328583642063266,0.6232155163926358
W114909093023001,6368,Gujarat,Rajkot,Dhoraji,Dhoraji 1,4.625975909289322e-05,5.749192241105931e-07,0.75,0.04464141821112007,0.0,0.10809399477806789,0.04143250688705234,0.011607142857142858,0.05485714285714286,0.003791936310851822,0.13036303630363036,0.16568047337278108,0.08110440034512512,0.011829069939376016,0.0011862396204033216,0.0,0.20284697508896796,0.06298090624109433,0.6232155163926358
W114909093023001,6369,Gujarat,Rajkot,Gondal,Kalithad,4.7133478150318355e-05,5.774392943283125e-07,0.75,0.04308353478377652,0.0,0.0762402088772846,0.03823691460055097,0.029464285714285714,0.060000000000000005,0.003791936310851822,0.1321965529886322,0.16173570019723868,0.08455565142364108,0.011385479816649415,0.0,0.0,0.1708185053380783,0.06075805072670277,0.6232155163926358
W114909093023001,6370,Gujarat,Rajkot,Gondal,Daliya,4.7396523792352677e-05,5.785353838445537e-07,0.75,0.019554123019070644,0.0,0.10182767624020887,0.009366391184573003,0.0067857142857142855,0.029142857142857144,0.003791936310851822,0.05133846718005134,0.0631163708086785,0.04486626402070751,0.006358125092414608,0.0011862396204033216,0.0,0.14234875444839856,0.02730122542034768,0.6232155163926358
W114909093023001,6371,Gujarat,Rajkot,Gondal,Hadmatiya,4.940129808443097e-05,5.796051661275708e-07,0.75,0.07929089443996777,0.0,0.0762402088772846,0.08121212121212122,0.03678571428571428,0.04914285714285715,0.003791936310851822,0.19453612027869455,0.26528599605522685,0.10181190681622089,0.028389767854502437,0.0011862396204033216,0.0,0.199288256227758,0.1122257053291536,0.6232155163926358
W114909093023001,6372,Gujarat,Rajkot,Jamkandor,Jasapar,4.6674772226328964e-05,5.752206724583111e-07,0.75,0.025570776255707764,0.0,0.13368146214099216,0.012451790633608815,0.01125,0.048,0.003791936310851822,0.066006600660066,0.08678500986193294,0.04918032786885246,0.010941889693922815,0.0,0.0,0.20640569395017794,0.03585066970646908,0.6232155163926358
W114909093023001,6373,Gujarat,Rajkot,Jasdan,Kamlapur,4.7540901456287027e-05,5.848748846343934e-07,0.75,0.08036529680365297,0.0,0.12741514360313316,0.07426997245179064,0.03589285714285714,0.10742857142857144,0.003791936310851822,0.16886688668866887,0.22879684418145957,0.091458153580673,0.03460002957267484,0.0011862396204033216,0.0,0.16370106761565836,0.11376460530065546,0.6232155163926358
W114909093023001,6374,Gujarat,Rajkot,Jasdan,Jasdan 2,4.7243633213826894e-05,5.851234473070731e-07,0.75,0.024012892828364222,0.0,0.15300261096605744,0.012451790633608815,0.007321428571428572,0.009142857142857144,0.003791936310851822,0.053171983865053174,0.05128205128205129,0.053494391716997415,0.010054709448469614,0.0011862396204033216,0.0,0.15302491103202845,0.03362781419207752,0.6232155163926358
W114909093023001,6375,Gujarat,Rajkot,Jetpur,Jetpur Pithad,4.6327212829796476e-05,5.772922992725651e-07,0.5,0.1049153908138598,0.0,0.13368146214099216,0.0937741046831956,0.09357142857142857,0.036571428571428574,0.003791936310851822,0.3008800880088009,0.32051282051282054,0.1941328731665229,0.018482921780275025,0.0011862396204033216,0.0,0.21352313167259784,0.14864633798803076,0.6232155163926358
