Well ID,S.No,STATE,DISTRICT,BLOCK,LOCATION,LATITUDE,LONGITUDE,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U(ppb)
W202345081254001,474,Chhattisgarh,Kanker,Charama,Lakhanpuri,20.39,81.43,8.0,1292.0,0.0,256.0,213.0,100.0,39.0,0.0,500.0,84.0,70.0,69.0,1.0,1.0,12.0,,0.0
W202531081242101,475,Chhattisgarh,Kanker,Charama,Jhipatota,20.48,81.37,8.0,906.0,0.0,262.0,106.0,40.0,28.0,0.0,300.0,88.0,19.0,59.0,2.0,1.0,10.0,,0.0
W215745083011001,476,Chhattisgarh,Bilaspur,Pendra,Adbhar,22.49,81.59,8.0,378.0,0.0,171.0,35.0,10.0,0.0,0.0,145.0,40.0,11.0,26.0,2.0,0.0,9.0,,2.0
W215505082160302,477,Chhattisgarh,Bilaspur,Masturi,Bakarkuda,21.92,82.27,8.0,695.0,0.0,293.0,64.0,19.0,2.0,0.0,290.0,60.0,34.0,28.0,2.0,0.0,5.0,,1.0
W222810082061601,478,Chhattisgarh,Bilaspur,Kota,Banabel,22.47,82.11,8.0,1153.0,0.0,415.0,149.0,30.0,0.0,0.0,260.0,20.0,50.0,150.0,1.0,1.0,8.0,,3.0
W222300082070001,479,Chhattisgarh,Bilaspur,Kota,Bansajhal,22.38,82.12,8.0,421.0,0.0,207.0,28.0,14.0,2.0,0.0,180.0,44.0,17.0,21.0,1.0,0.0,6.0,,1.0
W215247082085101,480,Chhattisgarh,Bilaspur,Bilha,Bartoli,21.88,82.15,8.0,1179.0,0.0,305.0,142.0,49.0,67.0,0.0,400.0,72.0,53.0,69.0,4.0,0.0,6.0,,1.0
W222600082020001,481,Chhattisgarh,Bilaspur,Kota,Belgahana,22.43,82.03,8.0,700.0,0.0,311.0,64.0,27.0,5.0,0.0,300.0,44.0,46.0,38.0,1.0,1.0,11.0,,1.0
W220941082200801,482,Chhattisgarh,Bilaspur,Bilaspur,Bhadrapara,22.16,82.34,8.0,533.0,0.0,244.0,35.0,35.0,5.0,0.0,240.0,36.0,36.0,21.0,3.0,0.0,16.0,,1.0
W215810082025001,483,Chhattisgarh,Bilaspur,Bilha,Bilha,21.96,82.09,8.0,885.0,0.0,329.0,78.0,31.0,9.0,0.0,250.0,52.0,29.0,77.0,2.0,0.0,8.0,,2.0
W214630081400301,484,Chhattisgarh,Bilaspur,Bilha,Bitkuli,21.95,82.05,8.0,667.0,0.0,268.0,64.0,33.0,9.0,0.0,310.0,52.0,43.0,19.0,1.0,0.0,6.0,,1.0
W215926082143301,485,Chhattisgarh,Bilaspur,Masturi,Bothidih,21.99,82.24,8.0,1451.0,0.0,348.0,199.0,91.0,68.0,0.0,560.0,100.0,74.0,71.0,1.0,0.0,14.0,,1.0
W220003082072301,486,Chhattisgarh,Bilaspur,Bilha,Chakarbhata,22.0,82.12,8.0,725.0,0.0,244.0,78.0,59.0,26.0,0.0,285.0,60.0,32.0,25.0,1.0,0.0,12.0,,3.0
W230109082020901,487,Chhattisgarh,Bilaspur,Marwahi,Chchgohana,23.02,82.04,8.0,228.0,0.0,79.0,14.0,27.0,9.0,0.0,90.0,28.0,5.0,12.0,1.0,0.0,10.0,,2.0
W204704080370401,488,Chhattisgarh,Bilaspur,Masturi,Chilhati,21.78,82.31,8.0,1072.0,0.0,512.0,85.0,27.0,13.0,0.0,195.0,4.0,44.0,177.0,2.0,1.0,9.0,,1.0
